Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	509.0	509.0	150	450                             	1017.0	949.8	1055.8	1785.5	1439.9	2200.1	370056.6	326606.2	419392.5	4958.8	4376.5	5619.9	159849.1	210633.3	182751.5	164977.4	210909.1	190139.4
0.5	1110	555	555	497.0	499.0	150	500                             	995.5	923.5	1046.8	1557.7	1266.4	1883.8	352294.4	292603.2	396152.4	4720.7	3920.9	5308.4	145827.4	194944.4	173881.3	149011.7	200111.8	176420.0
0.5	1110	555	555	493.5	494.5	150	550                             	985.5	923.2	1040.0	1405.0	1164.1	1755.1	331208.8	288495.3	381004.8	4438.2	3865.8	5111.1	142189.1	190018.4	166596.0	147632.5	192626.1	166619.3
0.5	1110	555	555	497.5	499.0	150	600                             	995.0	935.8	1043.8	1345.3	1072.9	1669.4	331923.2	290127.8	373694.1	4447.8	3887.7	5007.5	143388.4	185691.1	163112.6	146104.5	188019.6	168425.0
0.5	1110	555	555	498.0	501.0	150	650                             	998.0	916.5	1047.5	1201.4	932.3	1485.8	306965.2	270731.8	360575.0	4113.3	3627.8	4831.7	132786.9	178404.4	152462.0	137493.9	179207.8	155345.2
0.5	1110	555	555	498.0	499.5	150	700                             	996.5	922.8	1047.0	1123.7	834.1	1464.8	309143.4	260595.5	357863.2	4142.5	3492.0	4795.4	129100.3	177642.0	154264.8	133559.4	179782.7	155607.9
0.5	1110	555	555	494.0	495.0	150	750                             	989.5	917.0	1043.0	985.0	726.8	1313.0	291466.6	247556.6	337159.6	3905.7	3317.3	4517.9	123162.7	166131.9	144566.0	124383.6	167785.9	146119.4
0.5	1110	555	555	508.0	507.0	150	800                             	1014.0	935.0	1060.0	895.1	694.1	1244.8	292845.1	253737.3	335958.2	3924.1	3401.1	4501.8	126117.5	167059.1	146472.5	126448.1	168984.5	145952.0
0.5	1110	555	555	501.0	501.5	150	850                             	1002.0	916.2	1049.8	887.3	662.7	1238.2	274163.7	231537.2	323717.6	3673.8	3102.6	4337.8	114720.0	161730.4	137391.0	116703.7	162941.1	138943.2
0.5	1110	555	555	509.0	504.0	150	900                             	1012.5	926.2	1057.8	808.1	615.1	1084.0	275704.8	230773.7	331573.0	3694.4	3092.4	4443.1	115456.8	164539.5	137006.0	115349.1	164806.5	139445.8
0.5	1110	555	555	509.5	510.0	150	950                             	1019.0	948.2	1070.0	846.0	601.6	1137.4	276320.7	228266.7	320982.9	3702.7	3058.8	4307.4	113996.4	160342.5	137914.3	115548.6	160859.9	137809.6
0.5	1110	555	555	512.0	512.0	150	1000                             	1025.0	963.5	1074.8	690.9	502.2	943.1	261324.9	215943.3	306240.7	3501.8	2893.6	4103.6	108410.1	152064.6	129929.6	107750.4	154412.7	130751.8
0.5	1110	555	555	513.5	515.0	150	1050                             	1028.5	944.5	1079.8	672.0	482.9	909.5	266856.2	221390.4	308773.7	3575.9	2966.6	4137.6	111678.5	153629.9	131638.4	110970.8	156061.2	132703.6
0.5	1110	555	555	523.0	523.0	150	1100                             	1047.0	982.8	1081.0	629.3	455.5	863.9	257372.4	211512.0	297728.6	3448.8	2834.3	3989.6	105752.8	150175.8	127766.4	104833.0	151883.0	128084.9
0.5	1110	555	555	517.5	522.0	150	1150                             	1038.5	969.8	1083.0	579.2	430.2	844.5	247425.0	200708.1	288783.1	3315.5	2689.5	3869.7	99054.5	143722.1	124461.8	102025.6	145115.3	123602.4
0.5	1110	555	555	523.0	523.0	200	0                             	1045.0	1027.0	1064.0	2807.7	2428.5	3293.0	399968.7	373856.8	437962.8	5359.6	5012.3	5868.7	179348.3	212035.6	192918.3	194632.3	227088.0	207652.6
0.5	1110	555	555	523.0	524.0	200	50                             	1046.0	1025.2	1060.8	2766.4	2358.0	3214.8	402041.6	374658.9	436079.6	5387.4	5020.4	5843.5	180945.2	210228.4	193719.6	194032.0	225553.8	207883.6
0.5	1110	555	555	520.0	519.0	200	100                             	1038.5	1016.0	1055.0	2542.7	2290.1	2893.6	403672.4	375399.3	440790.5	5409.2	5030.4	5906.6	182062.0	216068.9	198209.0	192554.5	227673.0	208276.9
0.5	1110	555	555	515.0	515.0	200	150                             	1032.0	1000.2	1049.0	2397.2	2067.0	2836.0	392460.1	372580.8	440219.5	5259.0	4992.6	5898.9	178950.8	213270.8	191298.0	189188.1	224580.1	203384.3
