	Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B	Med_KE_A_singlenorm	Med_KE_B_singlenorm	Med_KE_A_doublenorm	Med_KE_B_doublenorm	Med_AUDPC_A_single	Med_AUDPC_B_single	Med_AUDPC_A_double	Med_AUDPC_B_double	KE_ratio_single	KE_ratio_unnorm
74	0.4	1110	666	444	571.0	381.0	1200	948.0	886.2	1009.8	310.5	240.0	386.1	134608.5	113941.6	164754.3	2696.4	2280.8	3295.1	68004.1	98537.1	80893.2	45889.7	65910.5	53762.2	0.8573573573573574	0.8581081081081081	42.86786786786787	42.9054054054054	121.46126126126126	121.08603603603603	6073.063063063063	6054.301801801801	1.000875656742557	1.4986876640419948
75	0.6	1110	444	666	439.0	665.0	0	1103.0	1101.2	1105.0	3855.0	3572.7	4190.0	623779.8	613407.7	632594.6	12475.6	12268.2	12651.9	165912.9	176088.9	171420.6	442987.9	458877.2	450894.3	0.9887387387387387	0.9984984984984985	49.43693693693694	49.92492492492492	386.0824324324324	677.0184684684684	19304.12162162162	33850.923423423425	1.0098709187547457	0.6601503759398496
76	0.6	1110	444	666	437.0	663.0	50	1100.0	1097.0	1102.0	3710.5	3377.7	3983.6	534747.8	524097.7	546600.2	10695.0	10482.0	10932.0	150764.1	161190.2	155949.9	370727.9	387280.1	379078.1	0.9842342342342343	0.9954954954954955	49.211711711711715	49.77477477477478	351.2385135135135	569.1863363363364	17561.925675675673	28459.316816816816	1.011441647597254	0.6591251885369532
77	0.6	1110	444	666	432.0	659.0	100	1090.0	1085.2	1094.0	3394.3	3163.1	3740.6	421433.6	410796.7	431619.0	8428.7	8215.9	8632.4	136577.7	147315.9	142238.3	272201.4	285297.4	278612.6	0.972972972972973	0.9894894894894894	48.64864864864865	49.47447447447447	320.3565315315315	418.3372372372372	16017.826576576574	20916.86186186186	1.0169753086419753	0.6555386949924128
78	0.6	1110	444	666	428.0	651.0	150	1079.0	1071.0	1085.0	3075.1	2801.1	3477.1	382072.4	366551.1	395734.4	7642.6	7331.0	7915.4	139933.6	154355.9	147449.4	224531.8	242582.5	234267.4	0.963963963963964	0.9774774774774775	48.1981981981982	48.873873873873876	332.09324324324325	351.75285285285287	16604.66216216216	17587.64264264264	1.014018691588785	0.6574500768049155
79	0.6	1110	444	666	422.0	641.0	200	1061.0	1045.0	1073.0	2777.9	2454.0	3100.3	374668.8	353576.8	395921.4	7493.4	7071.5	7918.4	144390.1	164167.7	154036.5	208540.3	232060.6	220482.7	0.9504504504504504	0.9624624624624625	47.52252252252252	48.12312312312312	346.92905405405406	331.0551051051051	17346.4527027027	16552.755255255255	1.0126382306477093	0.6583463338533542
80	0.6	1110	444	666	410.0	622.0	250	1030.0	996.0	1054.8	2477.7	2188.5	2948.6	368746.7	342320.6	404390.3	7374.9	6846.4	8087.8	141734.7	172449.9	154214.1	197999.7	231937.5	213402.9	0.9234234234234234	0.933933933933934	46.17117117117117	46.6966966966967	347.32905405405404	320.4247747747748	17366.452702702703	16021.238738738737	1.0113821138211383	0.6591639871382636
81	0.6	1110	444	666	391.5	591.0	300	982.0	922.0	1022.5	2200.7	1873.7	2549.0	355580.9	318787.1	394779.1	7111.6	6377.9	7895.6	135882.9	168692.1	153014.6	182433.0	225806.8	205232.6	0.8817567567567568	0.8873873873873874	44.08783783783784	44.36936936936937	344.6274774774775	308.15705705705705	17231.373873873872	15407.852852852853	1.0063856960408684	0.6624365482233503
82	0.6	1110	444	666	363.0	545.0	350	908.0	824.8	976.0	1819.4	1494.2	2181.1	321689.9	274438.7	362423.7	6433.8	5488.8	7248.5	114007.7	153941.7	135575.9	159002.1	209564.0	186002.8	0.8175675675675675	0.8183183183183184	40.87837837837838	40.91591591591592	305.35112612612613	279.28348348348345	15267.556306306304	13964.174174174173	1.0009182736455464	0.6660550458715596
83	0.6	1110	444	666	350.0	524.0	400	872.0	799.0	936.2	1474.0	1200.4	1831.8	276232.2	237195.2	337772.4	5524.6	4750.8	6755.4	97757.7	139540.0	116614.5	137406.8	193364.6	160684.4	0.7882882882882883	0.7867867867867868	39.414414414414416	39.33933933933934	262.64527027027026	241.26786786786786	13132.263513513511	12063.393393393393	0.998095238095238	0.6679389312977099
84	0.6	1110	444	666	332.5	500.5	450	832.0	737.8	908.8	1283.8	1038.3	1666.4	248666.2	200080.3	308562.3	4973.3	4007.3	6171.2	83520.0	128020.0	104435.5	116159.3	179976.5	144037.0	0.7488738738738738	0.7515015015015015	37.44369369369369	37.57507507507508	235.2150900900901	216.27177177177177	11760.754504504503	10813.58858858859	1.0035087719298246	0.6643356643356644
85	0.6	1110	444	666	317.0	474.5	500	792.5	688.0	884.0	1056.0	820.7	1391.5	213087.3	167254.0	272394.5	4261.7	3345.1	5453.9	69884.4	114417.3	87715.4	98627.5	158518.0	126020.9	0.713963963963964	0.7124624624624625	35.6981981981982	35.62312312312312	197.5572072072072	189.22057057057057	9877.860360360359	9461.028528528528	0.9978969505783386	0.6680716543730242
86	0.6	1110	444	666	314.0	469.0	550	783.0	693.0	859.8	937.1	727.9	1200.6	205566.0	163049.1	245945.2	4114.1	3262.2	4925.9	66323.8	102122.8	85132.9	94298.7	144063.1	120423.9	0.7072072072072072	0.7042042042042042	35.36036036036036	35.21021021021021	191.74076576576576	180.81666666666666	9587.038288288286	9040.833333333332	0.9957537154989383	0.6695095948827292
87	0.6	1110	444	666	315.5	475.0	600	792.5	707.5	869.8	839.4	635.3	1062.2	193062.1	161022.0	236564.8	3861.2	3220.4	4731.3	66758.6	96814.0	80160.0	93649.9	138506.2	114595.0	0.7105855855855856	0.7132132132132132	35.52927927927928	35.66066066066066	180.54054054054055	172.06456456456456	9027.027027027027	8603.228228228229	1.0036978341257263	0.6642105263157895
88	0.6	1110	444	666	308.0	463.5	650	773.0	691.0	844.5	712.5	551.2	885.8	178118.9	144487.7	216694.9	3564.6	2895.0	4333.9	58663.2	89137.5	72976.4	85386.5	125441.8	103745.6	0.6936936936936937	0.6959459459459459	34.68468468468468	34.7972972972973	164.36126126126126	155.7741741741742	8218.063063063062	7788.708708708709	1.0032467532467533	0.6645091693635383
89	0.6	1110	444	666	321.0	482.0	700	800.0	723.2	882.8	639.3	457.6	826.3	168331.0	135347.8	209968.8	3366.6	2707.0	4204.7	55092.2	84462.1	68378.5	80520.0	121845.2	100106.3	0.722972972972973	0.7237237237237237	36.14864864864865	36.186186186186184	154.00563063063063	150.30975975975977	7700.281531531531	7515.487987987988	1.0010384215991692	0.6659751037344398
90	0.6	1110	444	666	321.5	484.5	750	801.0	729.5	883.0	564.7	406.2	771.1	163347.2	130761.8	197952.8	3269.5	2615.2	3963.6	52638.5	81737.4	65783.3	78405.5	115827.9	97034.6	0.7240990990990991	0.7274774774774775	36.20495495495496	36.373873873873876	148.16058558558558	145.6975975975976	7408.029279279279	7284.87987987988	1.0046656298600312	0.6635706914344686
91	0.6	1110	444	666	329.0	492.5	800	821.0	752.5	903.8	558.6	400.0	767.2	160288.2	131149.9	203816.8	3205.8	2623.0	4076.3	54104.4	82694.0	65702.3	75281.9	120836.8	95101.0	0.740990990990991	0.7394894894894894	37.049549549549546	36.97447447447447	147.97815315315316	142.7942942942943	7398.907657657657	7139.714714714714	0.9979736575481256	0.6680203045685279
92	0.6	1110	444	666	333.0	498.0	850	831.5	747.5	917.2	484.7	360.1	654.0	155888.9	127635.6	193217.9	3120.8	2552.7	3864.4	51405.4	78084.5	63061.4	75452.6	115274.8	92855.5	0.75	0.7477477477477478	37.5	37.387387387387385	142.0301801801802	139.42267267267266	7101.509009009009	6971.1336336336335	0.9969969969969971	0.6686746987951807
