# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f53d596ec00>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
1.0	300	765.5		667.8	860.8	1849.7	1473.3	2254.8	295970.9	235385.8	364331.8	4442.2	3534.5	5466.3
1.0	350	676.0		567.0	779.2	1395.6	1040.5	1766.4	232694.1	162598.5	296108.8	3492.6	2439.3	4446.4
1.0	400	667.5		569.5	768.8	1122.3	908.8	1393.2	201350.0	158816.0	251622.4	3022.7	2385.4	3778.7
1.0	450	670.0		559.5	748.0	916.5	729.1	1218.4	178852.7	137826.4	224225.0	2686.1	2067.4	3367.5
1.0	500	658.0		575.0	757.5	797.2	638.2	1068.9	162050.4	123740.5	218700.9	2430.8	1861.5	3280.5
1.0	550	663.0		569.0	735.5	637.7	500.1	851.9	144115.5	117461.8	183204.7	2161.7	1762.3	2748.1
1.0	600	666.5		594.2	747.8	584.2	448.3	796.7	139862.4	112288.3	181096.3	2099.7	1689.0	2717.5
1.0	650	704.5		636.0	785.0	526.4	405.3	704.7	145585.2	107846.8	178162.0	2183.8	1622.5	2673.7
1.0	700	742.0		660.5	801.5	526.6	399.9	698.9	147957.4	113797.2	178761.7	2220.8	1711.5	2687.9
1.0	750	750.5		676.2	831.8	450.9	354.2	623.0	135507.8	110271.2	172495.3	2037.1	1658.4	2591.0
1.0	800	758.0		682.2	826.8	431.2	302.3	581.1	132118.3	104810.1	162612.4	1983.6	1575.5	2439.2
1.0	850	799.0		720.8	872.8	405.5	318.4	530.9	137629.5	110646.1	165376.4	2068.4	1660.9	2480.6
1.0	900	824.5		730.8	898.0	382.1	292.9	533.9	137529.0	107479.2	170126.5	2067.4	1613.0	2551.9
1.0	950	845.0		779.0	909.0	358.1	281.0	473.0	129867.9	105810.3	161475.9	1950.0	1589.7	2426.1
1.0	1000	871.5		799.2	930.5	345.5	261.8	460.9	135975.1	107688.6	165403.3	2042.1	1615.3	2488.5
1.0	1050	895.0		826.2	955.8	332.4	276.7	448.5	138393.5	113996.8	161285.4	2081.1	1710.0	2424.4
1.0	1100	917.5		849.0	973.8	325.3	238.8	417.4	135449.5	112204.2	168595.6	2039.8	1683.1	2530.7
1.0	1150	940.0		861.2	994.0	313.0	238.6	422.6	131450.8	105527.7	163295.1	1971.8	1582.9	2450.6
1.0	1200	954.5		886.5	1018.2	310.1	246.8	402.0	137137.6	110992.2	164677.3	2057.1	1664.9	2470.2
