# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function cauchy_thick at 0x7f8e8ad06b60>; Scale Parameter = 84.5m ; Sps Parameters = [[0.00785    0.14       0.00333333 0.00053   ]
 [0.00785    0.14       0.00333333 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.8	900	1044.5		995.2	1077.0	819.8	609.5	1038.5	266882.9	228113.0	308182.7	2095.0	1790.7	2422.6
0.8	950	1044.0		991.5	1075.0	758.3	591.1	996.5	269192.3	226496.7	304010.1	2113.2	1778.0	2386.5
0.8	1000	1043.5		989.0	1077.5	674.0	515.5	917.2	253908.8	208385.0	292192.6	1993.2	1640.0	2293.7
0.8	1050	1046.0		998.2	1078.0	685.7	530.8	911.6	242235.1	204180.3	282822.1	1901.5	1604.3	2220.2
0.8	1100	1048.5		991.2	1083.0	655.5	509.1	912.1	234539.3	194639.7	277544.2	1841.1	1527.9	2178.7
0.8	1150	1057.5		1007.2	1089.0	632.4	491.2	828.4	235969.4	185571.8	269807.1	1852.4	1457.2	2118.0
0.8	1200	1054.5		1002.2	1084.0	549.3	402.7	737.1	218351.4	183376.9	263221.1	1714.1	1439.5	2066.3
1.0	0	1103.0		1101.0	1105.0	3841.2	3585.0	4111.6	696982.3	685945.4	705841.7	5471.3	5384.7	5540.9
1.0	50	1099.0		1097.0	1102.0	3711.8	3457.6	4100.7	614647.9	604122.9	625127.5	4825.0	4742.4	4907.3
1.0	100	1092.0		1088.0	1095.0	3574.9	3252.2	3969.3	505088.7	494757.3	514658.3	3964.9	3883.8	4040.1
1.0	150	1084.0		1080.0	1089.0	3139.9	2869.2	3505.5	461589.5	448909.0	475624.3	3623.5	3523.9	3733.7
1.0	200	1082.0		1076.0	1088.0	2795.8	2472.1	3174.4	451644.6	435772.4	469860.8	3545.4	3420.8	3688.4
1.0	250	1080.0		1073.0	1087.0	2548.1	2271.1	2833.4	452431.2	430983.9	473416.2	3551.6	3383.2	3716.3
1.0	300	1079.0		1071.0	1086.0	2308.6	2013.0	2673.1	450443.9	427539.1	475175.6	3536.0	3356.2	3730.1
1.0	350	1079.0		1069.0	1087.0	2097.5	1811.8	2439.1	450099.6	427083.6	467626.8	3533.3	3352.6	3670.9
1.0	400	1077.5		1063.2	1087.0	1904.3	1641.0	2254.5	439888.3	412806.4	466904.3	3453.1	3240.5	3666.1
1.0	450	1076.0		1060.2	1088.0	1818.2	1503.9	2148.2	420860.6	397535.8	457903.3	3303.8	3120.7	3594.5
1.0	500	1074.0		1059.2	1084.8	1687.9	1399.2	2035.6	416675.5	386986.6	447091.8	3270.9	3037.8	3509.7
1.0	550	1073.0		1054.0	1088.0	1514.2	1221.4	1803.2	404465.8	371633.4	434788.8	3175.1	2917.3	3413.1
1.0	600	1071.0		1049.0	1086.8	1453.1	1218.3	1761.3	387890.4	359931.0	419597.8	3046.4	2825.5	3295.0
1.0	650	1069.0		1046.0	1087.0	1389.4	1097.7	1697.0	374044.4	343062.5	410953.9	2936.2	2693.0	3226.0
1.0	700	1070.0		1043.0	1088.8	1243.0	1017.8	1543.7	363746.8	332164.2	392804.0	2857.6	2607.5	3083.5
1.0	750	1067.0		1043.5	1089.0	1135.6	930.1	1460.1	348174.6	316051.6	377566.4	2733.2	2481.0	2963.9
1.0	800	1067.0		1038.2	1088.8	1123.1	881.4	1385.9	336553.8	306780.2	370360.9	2641.9	2410.8	2907.3
1.0	850	1069.0		1037.2	1088.8	1050.7	828.5	1384.3	329292.5	294125.3	358555.1	2584.9	2308.9	2814.7
1.0	900	1067.0		1035.0	1088.0	911.1	739.8	1169.0	313487.6	281768.5	352030.9	2460.9	2211.9	2765.1
1.0	950	1075.0		1043.0	1095.8	897.8	716.6	1187.2	309582.2	274335.7	342245.9	2430.2	2153.5	2686.6
1.0	1000	1073.0		1031.5	1093.0	845.8	638.4	1117.6	289512.7	259287.7	326002.0	2273.2	2035.4	2559.1
1.0	1050	1074.0		1040.0	1095.0	819.1	600.1	1077.7	294617.4	246950.9	330416.9	2312.7	1938.6	2593.8
1.0	1100	1078.0		1043.2	1097.0	757.6	583.1	1009.3	290911.1	248867.9	319506.1	2283.7	1953.6	2508.1
1.0	1150	1076.0		1036.2	1093.0	760.3	556.4	964.9	272027.5	236928.9	309032.5	2135.4	1859.9	2425.9
1.0	1200	1074.0		1037.2	1098.8	666.7	478.0	925.5	260743.0	225540.2	299220.3	2046.8	1770.5	2348.9
