# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 3000
# Kernel = <function exponential_kernel at 0x7f858d84eb60>; Scale Parameter = 119m ; Sps Parameters = [[0.00833    0.14       0.00285714 0.00053   ]
 [0.00833    0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.4	1110	666	444	584.0	385.5	900	969.5	879.0	1019.8	284.4	211.9	387.6	121554.2	99411.8	148466.3	1015.0	828.1	1236.7	59439.3	89005.0	73305.1	39651.8	58867.4	48292.0
0.4	1110	666	444	591.0	395.0	950	985.5	913.5	1039.0	280.1	208.0	402.9	126363.6	103385.9	155106.5	1052.6	861.2	1292.0	62701.7	93624.3	76253.3	40688.7	61870.6	50356.1
0.4	1110	666	444	606.5	404.0	1000	1008.5	946.0	1059.8	266.0	188.2	368.6	126738.3	100484.3	147463.5	1056.8	837.8	1228.4	60437.1	88732.9	76529.7	39553.0	59448.5	50607.3
0.4	1110	666	444	603.5	401.5	1050	1005.0	932.2	1058.0	282.8	198.9	384.0	125660.6	100331.7	153032.1	1046.8	835.8	1274.8	60541.9	91421.0	75864.4	39760.1	60593.7	49762.3
0.4	1110	666	444	614.0	408.0	1100	1019.0	957.5	1065.8	261.7	188.4	369.4	125595.8	97994.1	152528.2	1046.2	818.0	1270.6	58596.0	91180.8	74838.9	38480.1	61377.3	50270.6
0.4	1110	666	444	618.0	413.0	1150	1031.5	974.5	1072.5	244.5	160.9	323.2	113003.2	92162.7	138340.9	941.3	767.7	1152.4	55420.3	83562.2	67177.9	36789.7	55557.9	44808.3
0.4	1110	666	444	624.5	415.0	1200	1040.5	976.2	1085.8	237.5	162.0	309.8	118911.7	92496.8	142227.8	990.5	770.5	1184.8	54725.5	85764.1	71896.7	36571.5	56973.2	47598.3
0.6000000000000001	1110	444	666	439.0	658.0	0	1097.0	1093.0	1099.0	4253.3	3884.5	4689.2	527522.0	516736.2	537784.7	4394.3	4304.4	4479.7	167135.4	175831.8	172156.9	345246.4	363876.9	356592.1
0.6000000000000001	1110	444	666	433.0	650.0	50	1083.0	1078.0	1087.0	3933.7	3623.7	4398.1	437527.0	425844.4	448319.6	3644.6	3547.3	3734.5	148533.1	158591.9	153229.7	275734.6	293326.1	284155.8
0.6000000000000001	1110	444	666	420.0	631.0	100	1050.0	1040.0	1061.0	3312.8	2891.6	3775.9	413084.2	390725.2	442387.4	3441.0	3255.3	3685.1	147651.9	170442.4	160373.1	241904.9	274482.7	256265.7
0.6000000000000001	1110	444	666	402.5	606.5	150	1007.5	980.0	1031.0	2563.7	2235.3	3092.8	422016.8	383257.3	460225.7	3515.4	3192.5	3833.7	151275.8	180725.7	165469.0	232359.3	282287.5	253790.2
0.6000000000000001	1110	444	666	373.0	567.0	200	941.0	881.0	984.0	2111.1	1764.9	2508.2	383693.2	343841.0	431940.3	3196.2	2864.2	3598.1	136104.9	169967.8	150973.4	205081.3	261318.2	232104.4
0.6000000000000001	1110	444	666	338.5	513.0	250	851.5	749.0	932.8	1606.5	1300.3	1893.9	316107.2	253976.6	363858.5	2634.9	2117.8	3030.9	99289.3	143185.3	126180.7	153381.6	218909.2	191264.9
0.6000000000000001	1110	444	666	309.0	471.0	300	778.0	683.2	858.0	1177.5	951.4	1444.1	248636.0	194423.2	298193.0	2072.0	1621.6	2485.4	77201.6	118913.2	97902.5	117857.8	180337.9	148626.8
0.6000000000000001	1110	444	666	302.0	450.0	350	754.0	645.0	859.5	953.0	730.3	1341.7	212720.5	162716.9	275619.1	1772.0	1355.6	2298.1	63733.5	108958.5	84882.3	97659.8	164165.2	127746.8
0.6000000000000001	1110	444	666	301.0	454.0	400	754.5	656.2	836.8	834.0	609.6	1037.3	193642.5	136149.5	236712.0	1615.9	1134.1	1974.5	54666.8	93079.8	76789.6	82392.1	141630.4	116206.0
0.6000000000000001	1110	444	666	300.5	454.5	450	751.5	673.2	837.8	664.8	476.0	896.5	167167.8	130247.1	209571.1	1393.7	1087.0	1745.8	51295.2	83371.3	67389.0	79678.3	125936.3	99656.9
0.6000000000000001	1110	444	666	312.5	473.0	500	787.0	697.2	853.5	588.0	453.2	819.5	158430.9	124993.3	202747.4	1321.1	1041.2	1689.4	49647.9	81445.0	62861.5	75474.7	120624.8	95496.0
0.6000000000000001	1110	444	666	321.0	482.5	550	801.0	719.0	879.0	481.6	390.5	690.1	149190.3	119298.5	188594.0	1243.3	995.7	1576.3	47745.0	74493.8	59556.7	72296.2	113192.6	90456.9
0.6000000000000001	1110	444	666	327.0	494.5	600	821.0	743.2	903.0	463.6	337.7	615.7	142786.4	111836.5	180232.7	1190.1	931.6	1501.3	44812.8	70650.8	57127.8	66849.7	106812.8	85628.7
0.6000000000000001	1110	444	666	338.5	512.0	650	853.5	766.5	929.2	415.9	321.5	573.2	141310.1	113634.0	176961.4	1178.0	950.3	1474.1	45549.8	70279.9	56988.8	68390.7	106430.3	85546.0
